Index;Season;Date;HomeTeam;AwayTeam;HomeTeamGoals;AwayTeamGoals;Result;HomeTeamShots;AwayTeamShots;HomeTeamShotsOnTarget;AwayTeamShotsOnTarget;HomeTeamCorners;AwayTeamCorners;HomeTeamYellow;AwayTeamYellow;HomeTeamRed;AwayTeamRed;HomeTeamFouls;AwayTeamFouls;Gameday
174;2017;27/01/18;Kaiserslautern;Fortuna Dusseldorf;1;3;A;8;23;2;9;2;7;4;1;1;0;21;15;20
175;2017;27/01/18;Duisburg;Heidenheim;3;3;D;20;10;5;3;2;4;2;3;0;0;14;23;20
176;2017;27/01/18;Greuther Furth;Holstein Kiel;0;0;D;12;8;5;2;0;5;3;4;0;0;17;17;20
177;2017;28/01/18;St Pauli;Darmstadt;0;1;A;14;7;8;2;6;4;1;2;0;0;11;17;20
178;2017;28/01/18;Sandhausen;Dresden;1;0;H;14;6;3;2;3;2;2;5;0;1;11;21;20
179;2017;28/01/18;Erzgebirge Aue;Braunschweig;1;3;A;17;18;6;3;10;2;3;3;0;0;17;15;20
180;2017;29/01/18;Bochum;Bielefeld;0;1;A;14;11;3;5;6;5;1;0;0;0;12;11;20
181;2017;02/02/18;Nurnberg;Erzgebirge Aue;4;1;H;11;6;7;1;4;4;0;0;0;0;8;10;21
182;2017;03/02/18;Ingolstadt;Greuther Furth;3;0;H;22;14;10;1;4;5;1;0;0;0;13;15;21
183;2017;03/02/18;Holstein Kiel;Regensburg;1;1;D;7;21;3;7;3;5;4;2;0;0;15;19;21
184;2017;03/02/18;Heidenheim;St Pauli;3;1;H;11;19;6;4;3;4;0;2;0;0;10;12;21
185;2017;04/02/18;Dresden;Bochum;2;0;H;17;17;5;1;4;2;3;1;0;0;9;16;21
186;2017;04/02/18;Braunschweig;Kaiserslautern;1;2;A;26;10;7;3;3;6;2;2;0;0;10;8;21
187;2017;04/02/18;Darmstadt;Duisburg;1;2;A;11;11;5;5;5;6;3;1;0;0;15;13;21
188;2017;05/02/18;Bielefeld;Union Berlin;1;1;D;18;11;3;5;6;1;1;0;0;0;13;12;21
189;2017;09/02/18;Bochum;Darmstadt;2;1;H;14;17;4;2;10;5;2;1;0;0;14;10;21
190;2017;09/02/18;Kaiserslautern;Holstein Kiel;3;1;H;14;17;6;4;3;3;1;3;0;0;12;18;22
191;2017;10/02/18;Regensburg;Heidenheim;2;0;H;31;8;10;3;8;2;1;3;0;1;12;17;22
192;2017;10/02/18;Duisburg;Bielefeld;2;2;D;11;11;6;5;6;3;2;2;0;0;10;18;22
193;2017;10/02/18;Union Berlin;Fortuna Dusseldorf;3;1;H;26;4;7;1;9;2;3;3;0;0;13;20;22
194;2017;11/02/18;Greuther Furth;Dresden;1;0;H;14;20;7;5;8;9;1;3;0;0;21;17;22
195;2017;11/02/18;Sandhausen;Braunschweig;0;0;D;9;10;1;2;2;6;1;4;0;0;11;18;22
196;2017;11/02/18;Erzgebirge Aue;Ingolstadt;0;0;D;5;18;3;5;2;9;1;2;0;0;17;11;22
197;2017;12/02/18;St Pauli;Nurnberg;0;0;D;16;10;6;4;5;7;1;3;0;0;7;13;22
198;2017;16/02/18;Heidenheim;Bochum;1;0;H;10;17;2;7;2;9;2;3;0;0;22;10;22
199;2017;16/02/18;Kaiserslautern;Sandhausen;0;1;A;11;13;1;5;7;6;0;1;0;0;9;14;23
200;2017;17/02/18;Fortuna Dusseldorf;Greuther Furth;1;1;D;12;14;7;4;11;2;2;4;0;0;14;28;23
201;2017;17/02/18;Holstein Kiel;Erzgebirge Aue;2;2;D;13;13;6;7;7;7;1;2;0;0;9;12;23
202;2017;17/02/18;Ingolstadt;St Pauli;0;1;A;18;5;3;3;11;2;2;2;0;0;19;16;23
203;2017;17/02/18;Bielefeld;Darmstadt;2;0;H;14;13;4;6;4;7;3;3;0;0;9;11;23
204;2017;18/02/18;Nurnberg;Duisburg;3;1;H;10;13;5;3;6;5;1;1;0;0;10;10;23
205;2017;18/02/18;Dresden;Regensburg;1;0;H;9;13;1;5;2;6;1;4;0;0;16;21;23
206;2017;18/02/18;Braunschweig;Union Berlin;1;0;H;13;13;8;6;8;5;0;2;0;0;8;13;23
207;2017;21/02/18;Darmstadt;Kaiserslautern;1;2;A;18;12;7;3;8;3;1;1;0;0;14;8;23
208;2017;23/02/18;Regensburg;Fortuna Dusseldorf;4;3;H;15;13;7;5;7;2;0;2;0;0;15;15;24
209;2017;23/02/18;Bielefeld;Dresden;2;3;A;17;13;5;6;4;5;4;2;0;0;17;12;24
210;2017;24/02/18;Union Berlin;Sandhausen;2;1;H;9;7;2;4;3;6;1;2;0;0;14;20;24
211;2017;24/02/18;Erzgebirge Aue;Kaiserslautern;2;1;H;13;8;7;2;4;7;2;1;0;0;12;10;24
212;2017;24/02/18;Duisburg;Ingolstadt;2;1;H;13;9;4;2;2;3;3;5;0;1;13;23;24
213;2017;24/02/18;Greuther Furth;Braunschweig;2;1;H;18;9;4;5;6;3;2;3;0;0;13;17;24
214;2017;25/02/18;Bochum;Nurnberg;0;0;D;9;6;1;1;8;3;1;2;0;0;14;14;24
215;2017;25/02/18;Darmstadt;Heidenheim;1;1;D;10;16;2;6;4;6;2;4;1;0;16;17;24
216;2017;25/02/18;St Pauli;Holstein Kiel;3;2;H;9;12;3;7;5;6;1;3;0;0;7;11;24
217;2017;02/03/18;Kaiserslautern;Union Berlin;4;3;H;12;13;7;6;2;6;3;0;0;0;10;19;25
218;2017;02/03/18;Dresden;Darmstadt;0;2;A;20;9;3;5;4;5;1;0;0;0;4;6;25
219;2017;03/03/18;Holstein Kiel;Duisburg;5;0;H;19;3;5;1;5;3;0;2;0;0;11;10;25
220;2017;03/03/18;Sandhausen;Erzgebirge Aue;1;1;D;15;6;5;3;5;2;1;3;0;0;15;9;25
